1,BRU0004,Leah,Bruckner,Leah,10,S7,Swan,F,10 Leah Street,Ocean Grove,3226,Neil Bruckner
2,LOW0004,Austin,Lowry,Austin,12,L3,Lonsdale,M,12 Austin Street,Ocean Grove,3226,Jayne Martin
3,LOW0003,Connor,Lowry,Connor,12,L3,Lonsdale,M,12 Connor Street,Ocean Grove,3226,Jayne Martin
4,LOW0001,Thomas,Lowry,Tom,12,L4,Lonsdale,M,12 Thomas Street,Rye,3158,Jayne Martin
5,MAR0004,Jayne,Martin,Jayne,10,M1,Money,F,10 Jayne Street,Ocean Grove,3226,Magaret Martin
6,HAN0004,Chris,Hanrahan,Chris,10,H3,Hopeless,M,10 Chris Street,Alexandria,2015,Mrs Hanrahan
7,LUC0004,Trent,Lucas,Trent,7,L1,Lonsdale,M,7 Trent Street,Ocean Grove,3226,Dianne Lucas
8,BRU0001,Neil,Bruckner,Neil,8,B1,Big,M,8 Neil Street,Ocean Grove,3226,Roslyn Bruckner
9,MCI0004,Adam,McIntosh,Adam,9,M1,Money,M,9 Adam Street,Leopold,3228,Glen McIntosh
10,FLI0004,Fred,Flintstone,Fred,10,F1,Funny,M,10 Fred Street,Bedrock,1000,Mr Flinstone
11,RUB0004,Barney,Rubble,Barney,10,R1,Round,M,10 Barney Street,Bedrock,1000,Mr Rubble
12,SIM0004,Bart,Simpson,Bart,12,S1,Swan,M,12 Bart Street,Springfield,7890,Homer Simpson
13,SIM0003,Lisa,Simpson,Lisa,10,S7,Swan,F,10 Lisa Street,Springfield,7890,Homer Simpson
14,SKY0004,Luke,Skywalker,Luke,11,S7,Swan,M,11 Luke Street,Alderan,2230,Darth Vader
15,SOL0004,Han,Solo,Han,10,S1,Swan,M,10 Han Street,Alderan,2230,Mr Solo
16,SKY0003,Leia,Skywalker,Leia,11,S7,Swan,F,11 Leia Street,Alderan,2230,Darth Vader
